Statement,Label,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper
1,STD;CLINIC;0,137.92,0.4784,102E3,288.28,<.0001,0.05,136.98,138.86
2,INT;CLINIC;0,137.45,0.4761,102E3,288.72,<.0001,0.05,136.52,138.39
3,DIFF;CLINIC;0,0.4631,0.5583,102E3,0.83,0.4068,0.05,-0.6310,1.5573
4,STD;EHR;0,138.23,0.4942,102E3,279.68,<.0001,0.05,137.26,139.19
5,INT;EHR;0,136.91,0.4951,102E3,276.53,<.0001,0.05,135.94,137.88
6,DIFF;EHR;0,1.3163,0.5879,102E3,2.24,0.0252,0.05,0.1641,2.4685
7,DIFF;STD;0,0.3077,0.5248,102E3,0.59,0.5577,0.05,-0.7209,1.3362
8,DIFF;INT;0,-0.5455,0.5243,102E3,-1.04,0.2981,0.05,-1.5730,0.4821
9,STD;CLINIC;1,132.27,0.4856,102E3,272.39,<.0001,0.05,131.32,133.22
10,INT;CLINIC;1,126.75,0.4818,102E3,263.11,<.0001,0.05,125.81,127.70
11,DIFF;CLINIC;1,5.5123,0.5692,102E3,9.68,<.0001,0.05,4.3967,6.6279
12,STD;EHR;1,136.13,0.4532,102E3,300.39,<.0001,0.05,135.24,137.02
13,INT;EHR;1,131.54,0.4553,102E3,288.90,<.0001,0.05,130.65,132.43
14,DIFF;EHR;1,4.5896,0.5185,102E3,8.85,<.0001,0.05,3.5734,5.6058
15,DIFF;STD;1,3.8635,0.4932,102E3,7.83,<.0001,0.05,2.8969,4.8301
16,DIFF;INT;1,4.7862,0.4922,102E3,9.72,<.0001,0.05,3.8215,5.7509
17,STD;CLINIC;3,132.97,0.4281,102E3,310.60,<.0001,0.05,132.13,133.81
18,INT;CLINIC;3,123.06,0.4266,102E3,288.49,<.0001,0.05,122.23,123.90
19,DIFF;CLINIC;3,9.9034,0.4704,102E3,21.05,<.0001,0.05,8.9814,10.8255
20,STD;EHR;3,136.20,0.4416,102E3,308.45,<.0001,0.05,135.34,137.07
21,INT;EHR;3,126.87,0.4401,102E3,288.27,<.0001,0.05,126.00,127.73
22,DIFF;EHR;3,9.3336,0.4947,102E3,18.87,<.0001,0.05,8.3639,10.3032
23,DIFF;STD;3,3.2336,0.4247,102E3,7.61,<.0001,0.05,2.4012,4.0659
24,DIFF;INT;3,3.8034,0.4226,102E3,9.00,<.0001,0.05,2.9751,4.6318
25,STD;CLINIC;6,133.53,0.4747,102E3,281.26,<.0001,0.05,132.60,134.46
26,INT;CLINIC;6,121.90,0.4734,102E3,257.51,<.0001,0.05,120.98,122.83
27,DIFF;CLINIC;6,11.6260,0.5528,102E3,21.03,<.0001,0.05,10.5425,12.7094
28,STD;EHR;6,138.69,0.4360,102E3,318.13,<.0001,0.05,137.83,139.54
29,INT;EHR;6,127.96,0.4324,102E3,295.96,<.0001,0.05,127.11,128.80
30,DIFF;EHR;6,10.7318,0.4828,102E3,22.23,<.0001,0.05,9.7855,11.6781
31,DIFF;STD;6,5.1592,0.4664,102E3,11.06,<.0001,0.05,4.2452,6.0733
32,DIFF;INT;6,6.0534,0.4625,102E3,13.09,<.0001,0.05,5.1470,6.9598
33,STD;CLINIC;12,135.21,0.4232,102E3,319.49,<.0001,0.05,134.38,136.04
34,INT;CLINIC;12,121.35,0.4231,102E3,286.79,<.0001,0.05,120.52,122.18
35,DIFF;CLINIC;12,13.8673,0.4629,102E3,29.96,<.0001,0.05,12.9601,14.7744
36,STD;EHR;12,138.37,0.3911,102E3,353.78,<.0001,0.05,137.60,139.13
37,INT;EHR;12,127.98,0.3919,102E3,326.57,<.0001,0.05,127.21,128.75
38,DIFF;EHR;12,10.3862,0.4034,102E3,25.75,<.0001,0.05,9.5956,11.1769
39,DIFF;STD;12,3.1544,0.3662,102E3,8.61,<.0001,0.05,2.4366,3.8722
40,DIFF;INT;12,6.6354,0.3679,102E3,18.04,<.0001,0.05,5.9143,7.3564
41,STD;CLINIC;18,133.91,0.4574,102E3,292.79,<.0001,0.05,133.01,134.81
42,INT;CLINIC;18,120.40,0.4576,102E3,263.12,<.0001,0.05,119.50,121.29
43,DIFF;CLINIC;18,13.5152,0.5240,102E3,25.79,<.0001,0.05,12.4882,14.5423
44,STD;EHR;18,138.92,0.4160,102E3,333.96,<.0001,0.05,138.11,139.74
45,INT;EHR;18,128.27,0.4175,102E3,307.27,<.0001,0.05,127.46,129.09
46,DIFF;EHR;18,10.6484,0.4511,102E3,23.61,<.0001,0.05,9.7643,11.5326
47,DIFF;STD;18,5.0127,0.4291,102E3,11.68,<.0001,0.05,4.1716,5.8538
48,DIFF;INT;18,7.8795,0.4316,102E3,18.25,<.0001,0.05,7.0335,8.7255
49,STD;CLINIC;24,136.19,0.4478,102E3,304.10,<.0001,0.05,135.31,137.07
50,INT;CLINIC;24,121.30,0.4458,102E3,272.07,<.0001,0.05,120.42,122.17
