Statement,Label,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper
1,STD;54,139.65,0.4784,79962,291.92,<.0001,0.05,138.72,140.59
2,INT;54,131.66,0.4754,79962,276.93,<.0001,0.05,130.73,132.59
3,DIFF;54,7.9945,0.4673,79962,17.11,<.0001,0.05,7.0786,8.9105
4,STD;60,138.90,0.4816,79962,288.39,<.0001,0.05,137.96,139.84
5,INT;60,132.56,0.4800,79962,276.14,<.0001,0.05,131.62,133.50
6,DIFF;60,6.3416,0.4754,79962,13.34,<.0001,0.05,5.4099,7.2733
7,STD;66,138.57,0.4844,79962,286.07,<.0001,0.05,137.62,139.52
8,INT;66,133.15,0.4811,79962,276.79,<.0001,0.05,132.21,134.10
9,DIFF;66,5.4163,0.4790,79962,11.31,<.0001,0.05,4.4776,6.3551
10,STD;72,138.32,0.4860,79962,284.58,<.0001,0.05,137.37,139.27
11,INT;72,133.52,0.4830,79962,276.46,<.0001,0.05,132.57,134.46
12,DIFF;72,4.8036,0.4823,79962,9.96,<.0001,0.05,3.8584,5.7489
13,STD;78,137.16,0.4880,79962,281.07,<.0001,0.05,136.20,138.11
14,INT;78,134.05,0.4864,79962,275.59,<.0001,0.05,133.09,135.00
15,DIFF;78,3.1107,0.4876,79962,6.38,<.0001,0.05,2.1550,4.0664
16,STD;84,137.40,0.4864,79962,282.48,<.0001,0.05,136.44,138.35
17,INT;84,134.09,0.4875,79962,275.03,<.0001,0.05,133.13,135.04
18,DIFF;84,3.3108,0.4872,79962,6.80,<.0001,0.05,2.3559,4.2658
19,STD;90,137.21,0.4848,79962,283.04,<.0001,0.05,136.26,138.16
20,INT;90,134.27,0.4847,79962,277.01,<.0001,0.05,133.32,135.22
21,DIFF;90,2.9429,0.4828,79962,6.10,<.0001,0.05,1.9966,3.8891
22,STD;96,137.07,0.4719,79962,290.50,<.0001,0.05,136.15,138.00
23,INT;96,134.98,0.4704,79962,286.95,<.0001,0.05,134.06,135.90
24,DIFF;96,2.0956,0.4548,79962,4.61,<.0001,0.05,1.2042,2.9870
25,STD;102,137.40,0.4997,79962,274.97,<.0001,0.05,136.42,138.38
26,INT;102,135.89,0.4979,79962,272.93,<.0001,0.05,134.91,136.86
27,DIFF;102,1.5124,0.5102,79962,2.96,0.0030,0.05,0.5124,2.5124
28,STD;108,137.99,0.5348,79962,258.01,<.0001,0.05,136.94,139.04
29,INT;108,136.76,0.5299,79962,258.08,<.0001,0.05,135.72,137.79
30,DIFF;108,1.2353,0.5738,79962,2.15,0.0313,0.05,0.1106,2.3600
31,STD;114,138.22,0.6320,79962,218.72,<.0001,0.05,136.98,139.46
32,INT;114,137.57,0.6322,79962,217.60,<.0001,0.05,136.33,138.81
33,DIFF;114,0.6530,0.7487,79962,0.87,0.3832,0.05,-0.8145,2.1205
34,STD;120,137.45,1.0409,79962,132.05,<.0001,0.05,135.41,139.49
35,INT;120,138.32,1.0549,79962,131.13,<.0001,0.05,136.25,140.39
36,DIFF;120,-0.8710,1.3982,79962,-0.62,0.5333,0.05,-3.6116,1.8695
