Statement,Label,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper
1,STD;0,138.84,0.5173,123E3,268.37,<.0001,0.05,137.82,139.85
2,INT;0,136.68,0.5177,123E3,263.99,<.0001,0.05,135.66,137.69
3,DIFF;0,2.1581,0.5360,123E3,4.03,<.0001,0.05,1.1075,3.2086
4,STD;1,137.52,0.4795,123E3,286.79,<.0001,0.05,136.58,138.46
5,INT;1,132.23,0.4790,123E3,276.08,<.0001,0.05,131.29,133.17
6,DIFF;1,5.2941,0.4591,123E3,11.53,<.0001,0.05,4.3943,6.1940
7,STD;3,136.75,0.4929,123E3,277.42,<.0001,0.05,135.78,137.72
8,INT;3,127.58,0.4911,123E3,259.78,<.0001,0.05,126.62,128.54
9,DIFF;3,9.1693,0.4853,123E3,18.89,<.0001,0.05,8.2182,10.1205
10,STD;6,138.07,0.4613,123E3,299.28,<.0001,0.05,137.16,138.97
11,INT;6,127.11,0.4602,123E3,276.23,<.0001,0.05,126.21,128.02
12,DIFF;6,10.9521,0.4195,123E3,26.11,<.0001,0.05,10.1299,11.7743
13,STD;12,139.11,0.4499,123E3,309.19,<.0001,0.05,138.23,139.99
14,INT;12,128.56,0.4501,123E3,285.60,<.0001,0.05,127.68,129.44
15,DIFF;12,10.5484,0.3956,123E3,26.66,<.0001,0.05,9.7730,11.3238
16,STD;18,139.05,0.4573,123E3,304.08,<.0001,0.05,138.16,139.95
17,INT;18,128.27,0.4580,123E3,280.08,<.0001,0.05,127.38,129.17
18,DIFF;18,10.7795,0.4126,123E3,26.12,<.0001,0.05,9.9708,11.5883
19,STD;24,140.54,0.4586,123E3,306.49,<.0001,0.05,139.64,141.44
20,INT;24,128.28,0.4563,123E3,281.12,<.0001,0.05,127.38,129.17
21,DIFF;24,12.2649,0.4122,123E3,29.76,<.0001,0.05,11.4570,13.0728
22,STD;30,140.57,0.4434,123E3,316.99,<.0001,0.05,139.70,141.43
23,INT;30,128.32,0.4427,123E3,289.86,<.0001,0.05,127.45,129.18
24,DIFF;30,12.2487,0.3795,123E3,32.28,<.0001,0.05,11.5050,12.9925
25,STD;36,139.89,0.4512,123E3,310.02,<.0001,0.05,139.00,140.77
26,INT;36,129.02,0.4517,123E3,285.65,<.0001,0.05,128.13,129.90
27,DIFF;36,10.8709,0.3986,123E3,27.27,<.0001,0.05,10.0897,11.6521
28,STD;42,139.58,0.4560,123E3,306.06,<.0001,0.05,138.68,140.47
29,INT;42,130.39,0.4570,123E3,285.30,<.0001,0.05,129.49,131.28
30,DIFF;42,9.1903,0.4098,123E3,22.42,<.0001,0.05,8.3871,9.9936
31,STD;48,139.32,0.4450,123E3,313.12,<.0001,0.05,138.45,140.20
32,INT;48,131.43,0.4444,123E3,295.78,<.0001,0.05,130.56,132.31
33,DIFF;48,7.8896,0.3828,123E3,20.61,<.0001,0.05,7.1392,8.6399
34,STD;54,139.04,0.4626,123E3,300.55,<.0001,0.05,138.14,139.95
35,INT;54,132.15,0.4611,123E3,286.58,<.0001,0.05,131.25,133.05
36,DIFF;54,6.8932,0.4217,123E3,16.35,<.0001,0.05,6.0666,7.7197
37,STD;60,138.75,0.4452,123E3,311.64,<.0001,0.05,137.88,139.62
38,INT;60,132.84,0.4442,123E3,299.06,<.0001,0.05,131.97,133.71
39,DIFF;60,5.9128,0.3830,123E3,15.44,<.0001,0.05,5.1621,6.6634
40,STD;66,138.34,0.4611,123E3,300.02,<.0001,0.05,137.44,139.25
41,INT;66,133.51,0.4594,123E3,290.64,<.0001,0.05,132.61,134.41
42,DIFF;66,4.8298,0.4180,123E3,11.55,<.0001,0.05,4.0105,5.6491
43,STD;72,137.79,0.4444,123E3,310.06,<.0001,0.05,136.92,138.66
44,INT;72,134.09,0.4438,123E3,302.16,<.0001,0.05,133.22,134.96
45,DIFF;72,3.7054,0.3813,123E3,9.72,<.0001,0.05,2.9580,4.4528
46,STD;78,137.37,0.4592,123E3,299.13,<.0001,0.05,136.47,138.27
47,INT;78,134.44,0.4603,123E3,292.11,<.0001,0.05,133.54,135.35
48,DIFF;78,2.9295,0.4168,123E3,7.03,<.0001,0.05,2.1126,3.7464
49,STD;84,137.28,0.4444,123E3,308.89,<.0001,0.05,136.41,138.15
50,INT;84,134.58,0.4455,123E3,302.07,<.0001,0.05,133.71,135.45
51,DIFF;84,2.6955,0.3834,123E3,7.03,<.0001,0.05,1.9441,3.4469
52,STD;90,137.36,0.4639,123E3,296.09,<.0001,0.05,136.46,138.27
53,INT;90,134.80,0.4655,123E3,289.57,<.0001,0.05,133.89,135.71
54,DIFF;90,2.5671,0.4277,123E3,6.00,<.0001,0.05,1.7288,3.4053
55,STD;96,137.50,0.4603,123E3,298.75,<.0001,0.05,136.60,138.41
56,INT;96,135.37,0.4606,123E3,293.88,<.0001,0.05,134.47,136.27
57,DIFF;96,2.1326,0.4184,123E3,5.10,<.0001,0.05,1.3125,2.9527
58,STD;102,137.75,0.4910,123E3,280.56,<.0001,0.05,136.79,138.71
59,INT;102,136.29,0.4903,123E3,277.98,<.0001,0.05,135.33,137.25
60,DIFF;102,1.4625,0.4822,123E3,3.03,0.0024,0.05,0.5174,2.4075
61,STD;108,138.21,0.5388,123E3,256.50,<.0001,0.05,137.15,139.26
62,INT;108,137.47,0.5375,123E3,255.79,<.0001,0.05,136.42,138.53
63,DIFF;108,0.7322,0.5746,123E3,1.27,0.2026,0.05,-0.3941,1.8585
64,STD;114,138.97,0.6331,123E3,219.53,<.0001,0.05,137.73,140.22
65,INT;114,138.86,0.6519,123E3,212.99,<.0001,0.05,137.58,140.14
66,DIFF;114,0.1173,0.7594,123E3,0.15,0.8772,0.05,-1.3710,1.6057
67,STD;120,140.16,1.2410,123E3,112.94,<.0001,0.05,137.72,142.59
68,INT;120,140.36,1.3226,123E3,106.13,<.0001,0.05,137.77,142.95
69,DIFF;120,-0.2064,1.7435,123E3,-0.12,0.9057,0.05,-3.6236,3.2107
